platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at,model_status,resolved_stat_key,season_avg,recent_form,games_played,games_remaining,model_mean,model_sigma,prob_over,prob_under,implied_prob_over,implied_prob_under,implied_prob_includes_field_vig,edge_over,edge_under
draftkings,34118096,334626680,0QA334626680#2151983396_13L88808Q1-1809117535Q20,Isaiah Likely,,NFL,Anytime TD Scorer,player_touchdown,,350.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2151983313_13L88808Q1-98347530Q20,Tyrone Tracy Jr.,,NFL,Anytime TD Scorer,player_touchdown,,370.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2152003027_13L88808Q1-24141105Q20,Ryan Flournoy,,NFL,Anytime TD Scorer,player_touchdown,,380.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2152004140_13L88808Q1-1087231219Q20,Malachi Fields,,NFL,Anytime TD Scorer,player_touchdown,,380.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2151983496_13L88808Q1-1932900501Q20,Darnell Mooney,,NFL,Anytime TD Scorer,player_touchdown,,475.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2267143891_13L88808Q1-1148361646Q20,Emari Demercado,,NFL,Anytime TD Scorer,player_touchdown,,475.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2151983451_13L88808Q1-534343686Q20,Theo Johnson,,NFL,Anytime TD Scorer,player_touchdown,,500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2151983861_14L88808Q165321887Q20,,DAL Cowboys D/ST,NFL,Anytime TD Scorer,player_touchdown,,550.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2151983773_13L88808Q1795642865Q20,Dak Prescott,,NFL,Anytime TD Scorer,player_touchdown,,600.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2151983852_13L88808Q1-1972171966Q20,,NY Giants D/ST,NFL,Anytime TD Scorer,player_touchdown,,600.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2151983810_13L88808Q1744413187Q20,KaVontae Turpin,,NFL,Anytime TD Scorer,player_touchdown,,700.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2241747452_13L88808Q1-22612297Q20,Odell Beckham Jr.,,NFL,Anytime TD Scorer,player_touchdown,,750.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2151983529_13L88808Q11930260006Q20,Devin Singletary,,NFL,Anytime TD Scorer,player_touchdown,,1000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2241747460_13L88808Q11855040172Q20,Hunter Luepke,,NFL,Anytime TD Scorer,player_touchdown,,1000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2241747461_13L88808Q11068815856Q20,Brevyn Spann-Ford,,NFL,Anytime TD Scorer,player_touchdown,,1000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2151983842_13L88808Q11836416654Q20,Luke Schoonmaker,,NFL,Anytime TD Scorer,player_touchdown,,1100.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2151983800_13L88808Q1941788010Q20,Jonathan Mingo,,NFL,Anytime TD Scorer,player_touchdown,,1700.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2266286410_13L88808Q1-12861700Q20,Camden Brown,,NFL,Anytime TD Scorer,player_touchdown,,1700.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2282897408_13L88808Q1517489978Q20,Israel Abanikanda,,NFL,Anytime TD Scorer,player_touchdown,,1700.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2241747453_13L88808Q1143314200Q20,Patrick Ricard,,NFL,Anytime TD Scorer,player_touchdown,,2200.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2241747455_13L88808Q1760392225Q20,Braxton Berrios,,NFL,Anytime TD Scorer,player_touchdown,,2500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2241747457_13L88808Q1-195189754Q20,Dalen Cambre,,NFL,Anytime TD Scorer,player_touchdown,,2800.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2241747458_13L88808Q1344152428Q20,Chris Manhertz,,NFL,Anytime TD Scorer,player_touchdown,,3000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626680,0QA334626680#2266274961_13L88808Q1-572107068Q20,Thomas Fidone II,,NFL,Anytime TD Scorer,player_touchdown,,3500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983573_13L88808Q12056061885Q20,Javonte Williams,,NFL,2+ TDs,player_touchdown,,380.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2152003852_13L88808Q11211959603Q20,Cameron Skattebo,,NFL,2+ TDs,player_touchdown,,650.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983609_13L88808Q1-1472312629Q20,CeeDee Lamb,,NFL,2+ TDs,player_touchdown,,950.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983633_13L88808Q11452024780Q20,George Pickens,,NFL,2+ TDs,player_touchdown,,1200.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2251290092_13L88808Q1-255035193Q20,Malik Nabers,,NFL,2+ TDs,player_touchdown,,1500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983187_13L88808Q1-531828409Q20,Jaxson Dart,,NFL,2+ TDs,player_touchdown,,1700.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983657_13L88808Q1-691724415Q20,Jake Ferguson,,NFL,2+ TDs,player_touchdown,,2500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2250816551_13L88808Q11051308755Q20,Najee Harris,,NFL,2+ TDs,player_touchdown,,2800.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2152003028_13L88808Q1-200940095Q20,Ryan Flournoy,,NFL,2+ TDs,player_touchdown,,3500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2152004141_13L88808Q12092842238Q20,Malachi Fields,,NFL,2+ TDs,player_touchdown,,3500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983269_13L88808Q1-861767826Q20,Isaiah Likely,,NFL,2+ TDs,player_touchdown,,3500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983212_13L88808Q1-264458659Q20,Tyrone Tracy Jr.,,NFL,2+ TDs,player_touchdown,,4000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
