platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at,resolved_stat_key,model_status,season_avg,recent_form,games_played,games_remaining,model_mean,model_sigma,prob_over,prob_under,implied_prob_over,implied_prob_under,implied_prob_includes_field_vig,edge_over,edge_under
draftkings,34118042,334613199.0,0QA334613199#2151928227_13L88808Q1950577073Q20,Mack Hollins,,NFL,Anytime TD Scorer,player_touchdown,,1100.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.14285714285714285,0.0,14.0,,0.07142857142857142,,0.06893722029597726,,0.08333333333333333,,True,-0.014396113037356065,
draftkings,34118042,334613199.0,0QA334613199#2151928230_13L88808Q1-39347883Q20,Eli Raridon,,NFL,Anytime TD Scorer,player_touchdown,,1100.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334613199.0,0QA334613199#2151928228_13L88808Q11958986630Q20,Kyle Williams,,NFL,Anytime TD Scorer,player_touchdown,,1500.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.21428571428571427,0.28,14.0,,0.24714285714285716,,0.21897089002582704,,0.0625,,True,0.15647089002582704,
draftkings,34118042,334613199.0,0QA334613199#2252728011_13L88808Q1-2056923875Q20,Efton Chism III,,NFL,Anytime TD Scorer,player_touchdown,,1500.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.125,0.25,8.0,,0.1875,,0.17097088181959963,,0.0625,,True,0.10847088181959963,
draftkings,34118042,334613199.0,0QA334613199#2266364706_13L88808Q11053575810Q20,Montorie Foster Jr.,,NFL,Anytime TD Scorer,player_touchdown,,2000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334613199.0,0QA334613199#2271495554_13L88808Q1590386545Q20,Reggie Gilliam,,NFL,Anytime TD Scorer,player_touchdown,,2000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.0,0.0,11.0,,0.0,,9.999994999843054e-07,,0.047619047619047616,,True,-0.04761804761954763,
draftkings,34118042,334613199.0,0QA334613199#2254559043_13L88808Q1-604389720Q20,Nick Kallerup,,NFL,Anytime TD Scorer,player_touchdown,,2200.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.0,0.0,4.0,,0.0,,9.999994999843054e-07,,0.043478260869565216,,True,-0.04347726087006523,
draftkings,34118042,334613199.0,0QA334613199#2254559044_13L88808Q1-644359754Q20,Eric Saubert,,NFL,Anytime TD Scorer,player_touchdown,,3000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.0,0.0,9.0,,0.0,,9.999994999843054e-07,,0.03225806451612903,,True,-0.03225706451662905,
draftkings,34118042,334613199.0,0QA334613199#2267174619_13L88808Q11182691913Q20,Cameron Latu,,NFL,Anytime TD Scorer,player_touchdown,,3000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.0,0.0,10.0,,0.0,,9.999994999843054e-07,,0.03225806451612903,,True,-0.03225706451662905,
draftkings,34118042,334613199.0,0QA334613199#2271824889_13L88808Q1-950466113Q20,Tanner Arkin,,NFL,Anytime TD Scorer,player_touchdown,,3000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334613199.0,0QA334613199#2266365115_13L88808Q1-494459906Q20,Brady Russell,,NFL,Anytime TD Scorer,player_touchdown,,4000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.0,0.0,10.0,,0.0,,9.999994999843054e-07,,0.024390243902439025,,True,-0.02438924390293904,
draftkings,34118042,334613200.0,0QA334613200#2151928244_13L88808Q1-1842334837Q20,Rhamondre Stevenson,,NFL,First TD Scorer,player_touchdown,,600.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,unsupported_market_first_scorer,,,,,,,,,,,,,
draftkings,34118042,334613200.0,0QA334613200#2151928236_13L88808Q11761722929Q20,Jadarian Price,,NFL,First TD Scorer,player_touchdown,,650.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334613200.0,0QA334613200#2151928234_13L88808Q1831244855Q20,Jaxon Smith-Njigba,,NFL,First TD Scorer,player_touchdown,,750.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,unsupported_market_first_scorer,,,,,,,,,,,,,
draftkings,34118042,334613200.0,0QA334613200#2151928240_13L88808Q1-42875301Q20,George Holani,,NFL,First TD Scorer,player_touchdown,,1000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,unsupported_market_first_scorer,,,,,,,,,,,,,
draftkings,34118042,334613200.0,0QA334613200#2169981611_13L88808Q1318844811Q20,A.J. Brown,,NFL,First TD Scorer,player_touchdown,,1100.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,unsupported_market_first_scorer,,,,,,,,,,,,,
draftkings,34118042,334613200.0,0QA334613200#2151928237_13L88808Q1-2138470959Q20,A.J. Barner,,NFL,First TD Scorer,player_touchdown,,1300.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334613200.0,0QA334613200#2151928238_13L88808Q11492252564Q20,Cooper Kupp,,NFL,First TD Scorer,player_touchdown,,1400.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,unsupported_market_first_scorer,,,,,,,,,,,,,
draftkings,34118042,334613200.0,0QA334613200#2151928239_13L88808Q11316892301Q20,Rashid Shaheed,,NFL,First TD Scorer,player_touchdown,,1600.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,unsupported_market_first_scorer,,,,,,,,,,,,,
draftkings,34118042,334613200.0,0QA334613200#2151928246_13L88808Q11662343781Q20,Romeo Doubs,,NFL,First TD Scorer,player_touchdown,,1600.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,unsupported_market_first_scorer,,,,,,,,,,,,,
draftkings,34118042,334613200.0,0QA334613200#2151928247_13L88808Q1-6857800Q20,Hunter Henry,,NFL,First TD Scorer,player_touchdown,,1600.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,unsupported_market_first_scorer,,,,,,,,,,,,,
draftkings,34118042,334613200.0,0QA334613200#2151928249_13L88808Q1-475428232Q20,Drake Maye,,NFL,First TD Scorer,player_touchdown,,2000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,unsupported_market_first_scorer,,,,,,,,,,,,,
draftkings,34118042,334613200.0,0QA334613200#2151928235_13L88808Q1957328536Q20,Emanuel Wilson,,NFL,First TD Scorer,player_touchdown,,2200.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,unsupported_market_first_scorer,,,,,,,,,,,,,
