flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,series_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source
KXLOWTATL-26SEP07-B74.5,weather,yes,2026-09-09T17:35:00Z,0.142,0.005,0.137,False,,,,2026-09-09T17:35:00Z,0.005,open,,,,,KXLOWTATL,Low Temperature Atlanta,KATL,2026-09-07,between,74.0,75.0,min,73.0,0,2.23,literature_placeholder
KXLOWTATL-26SEP07-B72.5,weather,no,2026-09-09T17:35:00Z,0.827,0.25,0.577,False,,,,2026-09-09T17:35:00Z,0.25,open,,,,,KXLOWTATL,Low Temperature Atlanta,KATL,2026-09-07,between,72.0,73.0,min,73.0,0,2.23,literature_placeholder
KXLOWTATL-26SEP07-B70.5,weather,no,2026-09-09T17:35:00Z,0.9044,0.725,0.1794,False,,,,2026-09-09T17:35:00Z,0.725,open,,,,,KXLOWTATL,Low Temperature Atlanta,KATL,2026-09-07,between,70.0,71.0,min,73.0,0,2.23,literature_placeholder
KXHIGHCHI-26SEP07-T76,weather,yes,2026-09-09T17:35:00Z,0.0894,0.005,0.0844,False,,,,2026-09-09T17:35:00Z,0.005,open,,,,,KXHIGHCHI,Highest temperature in Chicago,KMDW,2026-09-07,less,,76.0,max,79.0,0,2.23,literature_placeholder
KXHIGHCHI-26SEP07-B80.5,weather,no,2026-09-09T17:35:00Z,0.858,0.395,0.463,False,,,,2026-09-09T17:35:00Z,0.395,open,,,,,KXHIGHCHI,Highest temperature in Chicago,KMDW,2026-09-07,between,80.0,81.0,max,79.0,0,2.23,literature_placeholder
KXHIGHCHI-26SEP07-B78.5,weather,no,2026-09-09T17:35:00Z,0.827,0.675,0.152,False,,,,2026-09-09T17:35:00Z,0.675,open,,,,,KXHIGHCHI,Highest temperature in Chicago,KMDW,2026-09-07,between,78.0,79.0,max,79.0,0,2.23,literature_placeholder
KXHIGHCHI-26SEP07-B76.5,weather,yes,2026-09-09T17:35:00Z,0.0956,0.035,0.0606,False,,,,2026-09-09T17:35:00Z,0.035,open,,,,,KXHIGHCHI,Highest temperature in Chicago,KMDW,2026-09-07,between,76.0,77.0,max,79.0,0,2.23,literature_placeholder
KXLOWTAUS-26SEP07-T77,weather,yes,2026-09-09T17:35:00Z,0.185,0.005,0.18,False,,,,2026-09-09T17:35:00Z,0.005,open,,,,,KXLOWTAUS,Lowest temperature in Austin,KAUS,2026-09-07,greater,77.0,,min,75.0,0,2.23,literature_placeholder
KXLOWTAUS-26SEP07-B76.5,weather,yes,2026-09-09T17:35:00Z,0.142,0.065,0.077,False,,,,2026-09-09T17:35:00Z,0.065,open,,,,,KXLOWTAUS,Lowest temperature in Austin,KAUS,2026-09-07,between,76.0,77.0,min,75.0,0,2.23,literature_placeholder
KXLOWTAUS-26SEP07-B74.5,weather,no,2026-09-09T17:35:00Z,0.827,0.365,0.462,False,,,,2026-09-09T17:35:00Z,0.365,open,,,,,KXLOWTAUS,Lowest temperature in Austin,KAUS,2026-09-07,between,74.0,75.0,min,75.0,0,2.23,literature_placeholder
