market_ticker,city_label,target_date,strike_type,floor_strike,cap_strike,forecast_value_f,lead_days,model_prob_yes,sigma_source,real_result,directionally_correct,brier_component
KXHIGHTNOLA-26SEP06-B88.5,New Orleans Max temp Daily,2026-09-06,between,88.0,89.0,93.0,0,0.0071,real_measured,no,True,0.0001
KXHIGHTTTN-26SEP06-T81,"Trenton, NJ Daily Max Temp",2026-09-06,greater,81.0,,77.0,0,0.0085,real_measured,no,True,0.0001
KXHIGHTTTN-26SEP06-T74,"Trenton, NJ Daily Max Temp",2026-09-06,less,,74.0,77.0,0,0.0368,real_measured,no,True,0.0014
KXHIGHTTTN-26SEP06-B80.5,"Trenton, NJ Daily Max Temp",2026-09-06,between,80.0,81.0,77.0,0,0.0283,real_measured,no,True,0.0008
KXHIGHTTTN-26SEP06-B78.5,"Trenton, NJ Daily Max Temp",2026-09-06,between,78.0,79.0,77.0,0,0.159,real_measured,yes,False,0.7073
KXHIGHTTTN-26SEP06-B76.5,"Trenton, NJ Daily Max Temp",2026-09-06,between,76.0,77.0,77.0,0,0.2245,real_measured,no,True,0.0504
KXHIGHTTTN-26SEP06-B74.5,"Trenton, NJ Daily Max Temp",2026-09-06,between,74.0,75.0,77.0,0,0.0797,real_measured,no,True,0.0064
KXLOWTPHX-26SEP06-T85,Low Temperature Phoenix,2026-09-06,greater,85.0,,85.0,0,0.5,real_measured,yes,False,0.25
KXLOWTPHX-26SEP06-T78,Low Temperature Phoenix,2026-09-06,less,,78.0,85.0,0,0.0,real_measured,no,True,0.0
KXLOWTPHX-26SEP06-B84.5,Low Temperature Phoenix,2026-09-06,between,84.0,85.0,85.0,0,0.2245,real_measured,no,True,0.0504
KXLOWTPHX-26SEP06-B82.5,Low Temperature Phoenix,2026-09-06,between,82.0,83.0,85.0,0,0.0797,real_measured,no,True,0.0064
KXLOWTPHX-26SEP06-B80.5,Low Temperature Phoenix,2026-09-06,between,80.0,81.0,85.0,0,0.0071,real_measured,no,True,0.0001
KXLOWTPHX-26SEP06-B78.5,Low Temperature Phoenix,2026-09-06,between,78.0,79.0,85.0,0,0.0002,real_measured,no,True,0.0
KXHIGHMIA-26SEP06-T93,Highest temperature in Miami,2026-09-06,greater,93.0,,90.0,0,0.0368,real_measured,no,True,0.0014
KXHIGHMIA-26SEP06-T86,Highest temperature in Miami,2026-09-06,less,,86.0,90.0,0,0.0085,real_measured,no,True,0.0001
KXHIGHMIA-26SEP06-B92.5,Highest temperature in Miami,2026-09-06,between,92.0,93.0,90.0,0,0.0797,real_measured,yes,False,0.847
KXHIGHMIA-26SEP06-B90.5,Highest temperature in Miami,2026-09-06,between,90.0,91.0,90.0,0,0.2245,real_measured,no,True,0.0504
KXHIGHMIA-26SEP06-B88.5,Highest temperature in Miami,2026-09-06,between,88.0,89.0,90.0,0,0.159,real_measured,no,True,0.0253
KXHIGHMIA-26SEP06-B86.5,Highest temperature in Miami,2026-09-06,between,86.0,87.0,90.0,0,0.0283,real_measured,no,True,0.0008
KXHIGHTOKC-26SEP06-T97,Oklahoma City Maximum High Temperature,2026-09-06,less,,97.0,100.0,0,0.0368,real_measured,no,True,0.0014
KXHIGHTOKC-26SEP06-T104,Oklahoma City Maximum High Temperature,2026-09-06,greater,104.0,,100.0,0,0.0085,real_measured,no,True,0.0001
KXHIGHTOKC-26SEP06-B99.5,Oklahoma City Maximum High Temperature,2026-09-06,between,99.0,100.0,100.0,0,0.2245,real_measured,no,True,0.0504
KXHIGHTOKC-26SEP06-B97.5,Oklahoma City Maximum High Temperature,2026-09-06,between,97.0,98.0,100.0,0,0.0797,real_measured,no,True,0.0064
KXHIGHTOKC-26SEP06-B103.5,Oklahoma City Maximum High Temperature,2026-09-06,between,103.0,104.0,100.0,0,0.0283,real_measured,no,True,0.0008
KXHIGHTOKC-26SEP06-B101.5,Oklahoma City Maximum High Temperature,2026-09-06,between,101.0,102.0,100.0,0,0.159,real_measured,yes,False,0.7073
KXHIGHTATL-26SEP06-T94,Atlanta Max Temperature,2026-09-06,less,,94.0,97.0,0,0.0368,real_measured,no,True,0.0014
KXHIGHTATL-26SEP06-T101,Atlanta Max Temperature,2026-09-06,greater,101.0,,97.0,0,0.0085,real_measured,no,True,0.0001
KXHIGHTATL-26SEP06-B98.5,Atlanta Max Temperature,2026-09-06,between,98.0,99.0,97.0,0,0.159,real_measured,no,True,0.0253
KXHIGHTATL-26SEP06-B96.5,Atlanta Max Temperature,2026-09-06,between,96.0,97.0,97.0,0,0.2245,real_measured,no,True,0.0504
KXHIGHTATL-26SEP06-B94.5,Atlanta Max Temperature,2026-09-06,between,94.0,95.0,97.0,0,0.0797,real_measured,yes,False,0.847
KXHIGHTATL-26SEP06-B100.5,Atlanta Max Temperature,2026-09-06,between,100.0,101.0,97.0,0,0.0283,real_measured,no,True,0.0008
KXLOWTTTN-26SEP06-T62,Trenton Daily low temp ,2026-09-06,greater,62.0,,61.0,0,0.2755,real_measured,no,True,0.0759
KXLOWTTTN-26SEP06-T55,Trenton Daily low temp ,2026-09-06,less,,55.0,61.0,0,0.0002,real_measured,no,True,0.0
KXLOWTTTN-26SEP06-B61.5,Trenton Daily low temp ,2026-09-06,between,61.0,62.0,61.0,0,0.2245,real_measured,yes,False,0.6014
KXLOWTTTN-26SEP06-B59.5,Trenton Daily low temp ,2026-09-06,between,59.0,60.0,61.0,0,0.159,real_measured,no,True,0.0253
KXLOWTTTN-26SEP06-B57.5,Trenton Daily low temp ,2026-09-06,between,57.0,58.0,61.0,0,0.0283,real_measured,no,True,0.0008
KXLOWTTTN-26SEP06-B55.5,Trenton Daily low temp ,2026-09-06,between,55.0,56.0,61.0,0,0.0013,real_measured,no,True,0.0
KXHIGHPHIL-26SEP06-T84,Highest temperature in Philadelphia,2026-09-06,greater,84.0,,80.0,0,0.0085,real_measured,no,True,0.0001
KXHIGHPHIL-26SEP06-T77,Highest temperature in Philadelphia,2026-09-06,less,,77.0,80.0,0,0.0368,real_measured,no,True,0.0014
KXHIGHPHIL-26SEP06-B83.5,Highest temperature in Philadelphia,2026-09-06,between,83.0,84.0,80.0,0,0.0283,real_measured,yes,False,0.9443
KXHIGHPHIL-26SEP06-B81.5,Highest temperature in Philadelphia,2026-09-06,between,81.0,82.0,80.0,0,0.159,real_measured,no,True,0.0253
KXHIGHPHIL-26SEP06-B79.5,Highest temperature in Philadelphia,2026-09-06,between,79.0,80.0,80.0,0,0.2245,real_measured,no,True,0.0504
KXHIGHPHIL-26SEP06-B77.5,Highest temperature in Philadelphia,2026-09-06,between,77.0,78.0,80.0,0,0.0797,real_measured,no,True,0.0064
