series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,yes_bid,yes_ask,no_bid,no_ask,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source,model_prob_yes,model_status,pulled_at
KXLOWTSATX,KXLOWTSATX-26SEP07-T71,Lowest Temperature SATX,KSAT,2026-09-07,less,,71.0,0.0,0.02,0.98,1.0,min,77.0,0,2.23,literature_placeholder,0.0036,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTSATX,KXLOWTSATX-26SEP07-B77.5,Lowest Temperature SATX,KSAT,2026-09-07,between,77.0,78.0,0.39,0.83,0.17,0.61,min,77.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTSATX,KXLOWTSATX-26SEP07-B75.5,Lowest Temperature SATX,KSAT,2026-09-07,between,75.0,76.0,0.02,0.05,0.95,0.98,min,77.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTSATX,KXLOWTSATX-26SEP07-B73.5,Lowest Temperature SATX,KSAT,2026-09-07,between,73.0,74.0,0.01,0.04,0.96,0.99,min,77.0,0,2.23,literature_placeholder,0.0529,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTSATX,KXLOWTSATX-26SEP07-B71.5,Lowest Temperature SATX,KSAT,2026-09-07,between,71.0,72.0,0.0,0.02,0.98,1.0,min,77.0,0,2.23,literature_placeholder,0.0089,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTLAX,KXLOWTLAX-26SEP07-T70,Lowest Temperature in LA,KLAX,2026-09-07,greater,70.0,,0.63,0.71,0.29,0.37,min,70.0,0,2.23,literature_placeholder,0.5,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTLAX,KXLOWTLAX-26SEP07-T63,Lowest Temperature in LA,KLAX,2026-09-07,less,,63.0,0.0,0.01,0.99,1.0,min,70.0,0,2.23,literature_placeholder,0.0009,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTLAX,KXLOWTLAX-26SEP07-B69.5,Lowest Temperature in LA,KLAX,2026-09-07,between,69.0,70.0,0.27,0.32,0.68,0.73,min,70.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTLAX,KXLOWTLAX-26SEP07-B67.5,Lowest Temperature in LA,KLAX,2026-09-07,between,67.0,68.0,0.0,0.02,0.98,1.0,min,70.0,0,2.23,literature_placeholder,0.0956,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTLAX,KXLOWTLAX-26SEP07-B65.5,Lowest Temperature in LA,KLAX,2026-09-07,between,65.0,66.0,0.0,0.01,0.99,1.0,min,70.0,0,2.23,literature_placeholder,0.024,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTLAX,KXLOWTLAX-26SEP07-B63.5,Lowest Temperature in LA,KLAX,2026-09-07,between,63.0,64.0,0.0,0.01,0.99,1.0,min,70.0,0,2.23,literature_placeholder,0.0027,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTHOU,KXLOWTHOU-26SEP07-T79,Low Temperature Houston,KHOU,2026-09-07,greater,79.0,,0.0,0.01,0.99,1.0,min,78.0,0,2.23,literature_placeholder,0.327,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTHOU,KXLOWTHOU-26SEP07-T72,Low Temperature Houston,KHOU,2026-09-07,less,,72.0,0.0,0.01,0.99,1.0,min,78.0,0,2.23,literature_placeholder,0.0036,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTHOU,KXLOWTHOU-26SEP07-B78.5,Low Temperature Houston,KHOU,2026-09-07,between,78.0,79.0,0.61,0.66,0.34,0.39,min,78.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTHOU,KXLOWTHOU-26SEP07-B76.5,Low Temperature Houston,KHOU,2026-09-07,between,76.0,77.0,0.23,0.32,0.68,0.77,min,78.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTHOU,KXLOWTHOU-26SEP07-B74.5,Low Temperature Houston,KHOU,2026-09-07,between,74.0,75.0,0.01,0.1,0.9,0.99,min,78.0,0,2.23,literature_placeholder,0.0529,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTHOU,KXLOWTHOU-26SEP07-B72.5,Low Temperature Houston,KHOU,2026-09-07,between,72.0,73.0,0.0,0.02,0.98,1.0,min,78.0,0,2.23,literature_placeholder,0.0089,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTMIN,KXHIGHTMIN-26SEP07-T86,Minneapolis Daily High Temperature,KMSP,2026-09-07,greater,86.0,,0.02,0.03,0.97,0.98,max,81.0,0,2.23,literature_placeholder,0.0125,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTMIN,KXHIGHTMIN-26SEP07-T79,Minneapolis Daily High Temperature,KMSP,2026-09-07,less,,79.0,0.05,0.07,0.93,0.95,max,81.0,0,2.23,literature_placeholder,0.185,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTMIN,KXHIGHTMIN-26SEP07-B85.5,Minneapolis Daily High Temperature,KMSP,2026-09-07,between,85.0,86.0,0.07,0.08,0.92,0.93,max,81.0,0,2.23,literature_placeholder,0.024,estimated,2026-09-07T09:50:21.371533+00:00
