flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,venue,race_id,party,tier,state,chamber,district,candidate_name,hours_to_resolution,electindex_prob,edge_vs_electindex
polymarket|US-HOUSE-CA-23|REP,politics,rep,2026-09-09T12:06:41Z,0.9805,0.9315,0.049,False,,,,2026-09-26T17:24:35Z,0.9315,open,,,,,polymarket,US-HOUSE-CA-23,REP,Elections - US House District,CA,,23,Will the Republican Party win the CA-23 House seat?,1307.9,0.943,0.0375
polymarket|US-HOUSE-CA-25|DEM,politics,dem,2026-09-09T12:06:41Z,0.9881,0.95,0.0381,False,,,,2026-09-26T17:24:35Z,0.95,open,,,,,polymarket,US-HOUSE-CA-25,DEM,Elections - US House District,CA,,25,Will the Democratic Party win the CA-25 House seat?,1307.9,0.976,0.0121
polymarket|US-HOUSE-CA-26|DEM,politics,dem,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-CA-26,DEM,Elections - US House District,CA,,26,Will the Democratic Party win the CA-26 House seat?,1307.9,0.995,-0.0088
kalshi|US-HOUSE-CA-27|DEM,politics,dem,2026-09-09T12:06:41Z,0.9763,0.9225,0.0538,True,polymarket,0.945,0.0313,2026-09-26T17:24:35Z,0.9105,open,,,,,kalshi,US-HOUSE-CA-27,DEM,Elections - US House District,CA,,27,George Whitesides,1307.9,0.996,-0.0197
polymarket|US-HOUSE-CA-27|DEM,politics,dem,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,True,kalshi,0.9225,0.0637,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-CA-27,DEM,Elections - US House District,CA,,27,George Whitesides,1307.9,0.996,-0.0098
polymarket|US-HOUSE-CA-30|DEM,politics,dem,2026-09-09T12:06:41Z,0.9899,0.955,0.0349,False,,,,2026-09-26T17:24:35Z,0.955,open,,,,,polymarket,US-HOUSE-CA-30,DEM,Elections - US House District,CA,,30,Will the Democratic Party win the CA-30 House seat?,1307.9,1.0,-0.0101
polymarket|US-HOUSE-CA-31|DEM,politics,dem,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-CA-31,DEM,Elections - US House District,CA,,31,Will the Democratic Party win the CA-31 House seat?,1307.9,0.948,0.0382
polymarket|US-HOUSE-CA-32|DEM,politics,dem,2026-09-09T12:06:41Z,0.9881,0.95,0.0381,False,,,,2026-09-26T17:24:35Z,0.95,open,,,,,polymarket,US-HOUSE-CA-32,DEM,Elections - US House District,CA,,32,Will the Democratic Party win the CA-32 House seat?,1307.9,1.0,-0.0119
polymarket|US-HOUSE-CA-33|DEM,politics,dem,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-CA-33,DEM,Elections - US House District,CA,,33,Will the Democratic Party win the CA-33 House seat?,1307.9,0.998,-0.0118
polymarket|US-HOUSE-CA-35|DEM,politics,dem,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-CA-35,DEM,Elections - US House District,CA,,35,Will the Democratic Party win the CA-35 House seat?,1307.9,0.996,-0.0098
polymarket|US-HOUSE-CA-36|DEM,politics,dem,2026-09-09T12:06:41Z,0.9881,0.95,0.0381,False,,,,2026-09-26T17:24:35Z,0.95,open,,,,,polymarket,US-HOUSE-CA-36,DEM,Elections - US House District,CA,,36,Will the Democratic Party win the CA-36 House seat?,1307.9,1.0,-0.0119
polymarket|US-HOUSE-CA-38|DEM,politics,dem,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-CA-38,DEM,Elections - US House District,CA,,38,Will the Democratic Party win the CA-38 House seat?,1307.9,0.995,-0.0088
polymarket|US-HOUSE-CA-39|DEM,politics,dem,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-CA-39,DEM,Elections - US House District,CA,,39,Will the Democratic Party win the CA-39 House seat?,1307.9,0.994,-0.0078
kalshi|US-HOUSE-CA-41|DEM,politics,dem,2026-09-09T12:06:41Z,0.986,0.9445,0.0415,True,polymarket,0.945,0.041,2026-09-26T17:24:35Z,0.9465,open,,,,,kalshi,US-HOUSE-CA-41,DEM,Elections - US House District,CA,,41,Linda Sánchez,1307.9,0.999,-0.013
polymarket|US-HOUSE-CA-41|DEM,politics,dem,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,True,kalshi,0.9445,0.0417,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-CA-41,DEM,Elections - US House District,CA,,41,Linda Sánchez,1307.9,0.999,-0.0128
polymarket|US-HOUSE-CA-42|DEM,politics,dem,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-CA-42,DEM,Elections - US House District,CA,,42,Will the Democratic Party win the CA-42 House seat?,1307.9,0.996,-0.0098
polymarket|US-HOUSE-CA-43|DEM,politics,dem,2026-09-09T12:06:41Z,0.9895,0.954,0.0355,False,,,,2026-09-26T17:24:35Z,0.954,open,,,,,polymarket,US-HOUSE-CA-43,DEM,Elections - US House District,CA,,43,Will the Democratic Party win the CA-43 House seat?,1307.9,1.0,-0.0105
kalshi|US-HOUSE-CA-45|DEM,politics,dem,2026-09-09T12:06:41Z,0.9614,0.895,0.0664,True,polymarket,0.915,0.0464,2026-09-26T17:24:35Z,0.929,open,,,,,kalshi,US-HOUSE-CA-45,DEM,Elections - US House District,CA,,45,Derek Tran,1307.9,0.979,-0.0176
polymarket|US-HOUSE-CA-45|DEM,politics,dem,2026-09-09T12:06:41Z,0.9725,0.915,0.0575,True,kalshi,0.895,0.0775,2026-09-26T17:24:35Z,0.915,open,,,,,polymarket,US-HOUSE-CA-45,DEM,Elections - US House District,CA,,45,Derek Tran,1307.9,0.979,-0.0065
polymarket|US-HOUSE-CA-46|DEM,politics,dem,2026-09-09T12:06:41Z,0.9881,0.95,0.0381,False,,,,2026-09-26T17:24:35Z,0.95,open,,,,,polymarket,US-HOUSE-CA-46,DEM,Elections - US House District,CA,,46,Will the Democratic Party win the CA-46 House seat?,1307.9,1.0,-0.0119
kalshi|US-HOUSE-CA-47|DEM,politics,dem,2026-09-09T12:06:41Z,0.9848,0.9415,0.0433,True,polymarket,0.945,0.0398,2026-09-26T17:24:35Z,0.9585,open,,,,,kalshi,US-HOUSE-CA-47,DEM,Elections - US House District,CA,,47,Dave Min,1307.9,0.99,-0.0052
